station,latitude,longitude
Aljunied,1.3099,103.8765
Paya Lebar,1.317767,103.892381
Eunos,1.31976,103.90306
Kembangan,1.32103,103.91281
Bedok,1.3211,103.9247
Tanah Merah,1.323081,103.941136
Simei,1.3394,103.9519
Tampines,1.351514,103.940522
Pasir Ris,1.370111,103.94295
Changi Airport,1.357478,103.987885
Serangoon,1.3491,103.87358
Bartley,1.342756,103.879697
Tai Seng,1.335833,103.887942
MacPherson,1.32678,103.89019
Dakota,1.308289,103.888253
Mountbatten,1.306306,103.882531
Stadium,1.3029,103.8753
Nicoll Highway,1.2996,103.86399
Promenade,1.2931,103.8611
Little India,1.3067,103.8492
Jalan Besar,1.30525,103.85556
Bendemeer,1.311944,103.863611
Geylang Bahru,1.32148,103.8719
Mattar,1.32688,103.88321
Ubi,1.330011,103.899958
Kaki Bukit,1.33514,103.90912
Bedok North,1.3348,103.91785
Bedok Reservoir,1.33652,103.93287
Tampines West,1.34534,103.93847
Tampines East,1.35681,103.95574
Upper Changi,1.34111,103.96154
Expo,1.33528,103.96194
Xilin,1.32718,103.96149
Sungei Bedok,1.32087,103.95817
Farrer Park,1.312314,103.854028
Boon Keng,1.319483,103.861722
Potong Pasir,1.33137,103.86917
Woodleigh,1.33938,103.87075
Kovan,1.360214,103.884864
Marine Parade,1.3026301,103.9049619
Marine Terrace,1.30661,103.91494
Siglap,1.30958,103.92896
Bayshore,1.31359,103.94085
Bedok South,1.31741,103.94844
